percentage_time,cumulative_sec,self_sec,calls,self sec/call,total sec/call,name,class,function
0.58,24.02,0.3,47487.0,0.0,0.0,"EncCu::xCheckRDCostMerge2Nx2N(CodingStructure*&, CodingStructure*&, Partitioner&, EncTestMode const&)",EncCu,xCheckRDCostMerge2Nx2N
0.57,24.31,0.3,135326296.0,0.0,0.0,"Picture::getBuf(ComponentID, PictureType const&) const",Picture,getBuf
0.56,24.6,0.29,1604174.0,0.0,0.0,"IntraSearch::xIntraCodingTUBlock(TransformUnit&, ComponentID const&, unsigned long&, int const&, unsigned int*, std::vector<std::pair<int, bool>, std::allocator<std::pair<int, bool> > >*, bool)",IntraSearch,xIntraCodingTUBlock
0.56,24.89,0.29,228269.0,0.0,0.0,RdCost::xGetSSE32(DistParam const&),RdCost,xGetSSE32
0.56,25.18,0.29,70959.0,0.0,0.0,"AlfCovariance::optimizeFilter(AlfFilterShape const&, int*, double*, bool) const",AlfCovariance,optimizeFilter
0.56,25.47,0.29,2408848.0,0.0,0.0,"TrQuant::xT(TransformUnit const&, ComponentID const&, AreaBuf<short const> const&, AreaBuf<int>&, int, int)",TrQuant,xT
0.56,25.76,0.29,1661104.0,0.0,0.0,"TrQuant::xIT(TransformUnit const&, ComponentID const&, AreaBuf<int const> const&, AreaBuf<short>&)",TrQuant,xIT
0.56,26.05,0.29,175905.0,0.0,0.0,"fastForwardDCT2_B32(int const*, int*, int, int, int, int)",no_class_function,fastForwardDCT2_B32
0.56,26.34,0.29,3108597.0,0.0,0.0,"InterPrediction::xPredInterBi(PredictionUnit&, UnitBuf<short>&, bool, bool, UnitBuf<short>*)",InterPrediction,xPredInterBi
0.56,26.62,0.29,30190707.0,0.0,0.0,"CoeffCodingContext::deriveRice(int, int const*, int)",CoeffCodingContext,deriveRice
0.55,26.9,0.28,547368.0,0.0,0.0,"void InterpolationFilter::filterCopy<false, true>(ClpRng const&, short const*, int, short*, int, int, int, bool)",void InterpolationFilter,"filterCopy<false, true>"
0.55,27.18,0.28,28414.0,0.0,0.0,"EncCu::xCheckRDCostMergeGeo2Nx2N(CodingStructure*&, CodingStructure*&, Partitioner&, EncTestMode const&)",EncCu,xCheckRDCostMergeGeo2Nx2N
0.54,27.46,0.28,135326296.0,0.0,0.0,"Picture::getRecoBuf(ComponentID, bool) const",Picture,getRecoBuf
0.53,27.73,0.27,1115680.0,0.0,0.0,"MatrixIntraPrediction::predictionUpsampling1D(int*, int const*, int const*, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int)",MatrixIntraPrediction,predictionUpsampling1D
0.51,27.99,0.26,617492.0,0.0,0.0,"fastForwardDCT2_B16(int const*, int*, int, int, int, int)",no_class_function,fastForwardDCT2_B16
0.51,28.25,0.26,11533112.0,0.0,0.0,"unsigned long RdCost::xGetSAD_NxN_SIMD<8, (X86_VEXT)3>(DistParam const&)",unsigned long RdCost,"xGetSAD_NxN_SIMD<8, "
0.51,28.51,0.26,1140951.0,0.0,0.0,"MatrixIntraPrediction::computeReducedPred(int*, int const*, unsigned char const*, bool, int)",MatrixIntraPrediction,computeReducedPred
0.51,28.77,0.26,20898512.0,0.0,0.0,"CodingStructure::isDecomp(Position const&, ChannelType)",CodingStructure,isDecomp
0.51,29.03,0.26,135326296.0,0.0,0.0,PelStorage::getBuf(ComponentID) const,PelStorage,getBuf
0.49,29.28,0.25,218925.0,0.0,0.0,"InterSearch::xEstimateInterResidualQT(CodingStructure&, Partitioner&, unsigned long*, bool, bool, UnitBuf<short>*)",InterSearch,xEstimateInterResidualQT
0.49,29.53,0.25,162266.0,0.0,0.0,"InterSearch::predInterSearch(CodingUnit&, Partitioner&)",InterSearch,predInterSearch
0.49,29.78,0.25,4126586.0,0.0,0.0,"void simdFilter<(X86_VEXT)3, 8, false, true, false>(ClpRng const&, short const*, int, short*, int, int, int, short const*, bool)",no_class_function,void simdFilter
0.48,30.02,0.25,18379823.0,0.0,0.0,AreaBuf<short>::copyFrom(AreaBuf<short const> const&),AreaBuf<short>,copyFrom
0.47,30.26,0.24,5499440.0,0.0,0.0,"void calcBIOSums_SSE<(X86_VEXT)3>(short const*, short const*, short*, short*, short*, short*, int, int, int, int, int, int, int*, int*, int*, int*, int*)",no_class_function,void calcBIOSums_SSE
0.47,30.5,0.24,2886243.0,0.0,0.0,"CoeffCodingContext::CoeffCodingContext(TransformUnit const&, ComponentID, bool, bool)",CoeffCodingContext,CoeffCodingContext
0.45,30.73,0.23,4531736.0,0.0,0.0,"IntraPrediction::predIntraAng(ComponentID, AreaBuf<short>&, PredictionUnit const&)",IntraPrediction,predIntraAng
0.44,30.96,0.23,44794115.0,0.0,0.0,"CodingStructure::getCU(Position const&, ChannelType) const",CodingStructure,getCU
0.43,31.18,0.22,175337.0,0.0,0.0,"InterSearch::calcMinDistSbt(CodingStructure&, CodingUnit const&, unsigned char)",InterSearch,calcMinDistSbt
0.43,31.4,0.22,11610041.0,0.0,0.0,"unsigned long RdCost::xGetSAD_NxN_SIMD<16, (X86_VEXT)3>(DistParam const&)",unsigned long RdCost,"xGetSAD_NxN_SIMD<16, "
0.41,31.61,0.21,54848.0,0.0,0.0,"fastForwardDST7_B32(int const*, int*, int, int, int, int)",no_class_function,fastForwardDST7_B32
0.41,31.82,0.21,43983.0,0.0,0.0,"fastInverseDST7_B32(int const*, int*, int, int, int, int, int, int)",no_class_function,fastInverseDST7_B32
0.41,32.03,0.21,1688707.0,0.0,0.0,"AlfCovariance::calcErrorForCoeffs(int const*, int const*, int, int) const",AlfCovariance,calcErrorForCoeffs
0.39,32.23,0.2,3985689.0,0.0,0.0,"void simdFilter<(X86_VEXT)3, 8, true, false, true>(ClpRng const&, short const*, int, short*, int, int, int, short const*, bool)",no_class_function,void simdFilter
0.37,32.42,0.19,1661104.0,0.0,0.0,"DQIntern::Quantizer::dequantBlock(TransformUnit const&, ComponentID, QpParam const&, AreaBuf<int>&, bool, int*) const",DQIntern,Quantizer::dequantBlock
0.35,32.6,0.18,1812580.0,0.0,0.0,"DQIntern::RateEstimator::xSetLastCoeffOffset(FracBitsAccess const&, DQIntern::TUParameters const&, TransformUnit const&, ComponentID)",DQIntern,RateEstimator::xSetLastCoeffOffset
0.35,32.78,0.18,907447.0,0.0,0.0,"fastInverseDCT2_B8(int const*, int*, int, int, int, int, int, int)",no_class_function,fastInverseDCT2_B8
0.34,32.95,0.18,18326387.0,0.0,0.0,"CodingStructure::getPU(Position const&, ChannelType)",CodingStructure,getPU
0.33,33.12,0.17,1140951.0,0.0,0.0,"IntraPrediction::predIntraMip(ComponentID, AreaBuf<short>&, PredictionUnit const&)",IntraPrediction,predIntraMip
0.33,33.29,0.17,951254.0,0.0,0.0,"TrQuant::transformNxN(TransformUnit&, ComponentID const&, QpParam const&, std::vector<std::pair<int, bool>, std::allocator<std::pair<int, bool> > >*, int)",TrQuant,transformNxN
0.33,33.46,0.17,237563.0,0.0,0.0,"InterSearch::xPatternSearch(InterSearch::IntTZSearchStruct&, Mv&, unsigned long&)",InterSearch,xPatternSearch
0.32,33.63,0.17,24976951.0,0.0,0.0,"InterpolationFilter::filterHor(ComponentID, short const*, int, short*, int, int, int, int, bool, ClpRng const&, int, bool, bool)",InterpolationFilter,filterHor
0.31,33.79,0.16,4507781.0,0.0,0.0,CodingStructure::clearTUs(),CodingStructure,clearTUs
0.31,33.95,0.16,3289062.0,0.0,0.0,"QpParam::QpParam(int, ComponentID, int, int, int, ChromaFormat, int, SPS const*, bool)",QpParam,QpParam
0.31,34.11,0.16,2589830.0,0.0,0.0,"UnitBuf<short>::copyFrom(UnitBuf<short const> const&, bool, bool)",UnitBuf<short>,copyFrom
0.31,34.27,0.16,428363.0,0.0,0.0,"IntraPrediction::xPredIntraPlanar(AreaBuf<short const> const&, AreaBuf<short>&)",IntraPrediction,xPredIntraPlanar
0.31,34.43,0.16,138677.0,0.0,0.0,"fastInverseDST7_B16(int const*, int*, int, int, int, int, int, int)",no_class_function,fastInverseDST7_B16
0.29,34.58,0.15,96201111.0,0.0,0.0,PelStorage::getBuf(CompArea const&),PelStorage,getBuf
0.29,34.73,0.15,41247087.0,0.0,0.0,"Picture::getBuf(CompArea const&, PictureType const&)",Picture,getBuf
0.29,34.88,0.15,20527370.0,0.0,0.0,"TBitEstimator<BinProbModel_Std>::encodeBin(unsigned int, unsigned int)",TBitEstimator<BinProbModel_Std>,encodeBin
0.29,35.03,0.15,10315612.0,0.0,0.0,"Picture::getBuf(UnitArea const&, PictureType const&)",Picture,getBuf
0.29,35.18,0.15,6059668.0,0.0,0.0,"void DQIntern::State::updateState<(unsigned char)3>(DQIntern::ScanInfo const&, DQIntern::State const*, DQIntern::Decision const&, int, bool)",void DQIntern,State::updateState<
0.29,35.33,0.15,4698216.0,0.0,0.0,"unsigned long RdCost::xGetSAD_NxN_SIMD<32, (X86_VEXT)3>(DistParam const&)",unsigned long RdCost,"xGetSAD_NxN_SIMD<32, "
0.29,35.48,0.15,2667639.0,0.0,0.0,"CABACWriter::last_sig_coeff(CoeffCodingContext&, TransformUnit const&, ComponentID)",CABACWriter,last_sig_coeff
0.29,35.63,0.15,2109017.0,0.0,0.0,AreaBuf<short>::subtract(AreaBuf<short const> const&),AreaBuf<short>,subtract
0.29,35.78,0.15,340733.0,0.0,0.0,"TrQuant::invLfnstNxN(int*, int*, unsigned int, unsigned int, unsigned int, int, int)",TrQuant,invLfnstNxN
0.28,35.92,0.15,41711226.0,0.0,0.0,Picture::isRefScaled(PPS const*) const,Picture,isRefScaled
0.27,36.06,0.14,1955936.0,0.0,0.0,CodingUnit::initData(),CodingUnit,initData
0.27,36.2,0.14,601597.0,0.0,0.0,"InterSearch::xMotionEstimation(PredictionUnit&, UnitBuf<short>&, RefPicList, Mv&, int, Mv&, bool&, int&, unsigned int&, unsigned long&, AMVPInfo const&, bool&, bool)",InterSearch,xMotionEstimation
0.27,36.34,0.14,572046.0,0.0,0.0,"IntraSearch::xRecurIntraCodingLumaQT(CodingStructure&, Partitioner&, bool, int, int, bool)",IntraSearch,xRecurIntraCodingLumaQT
0.27,36.48,0.14,394993.0,0.0,0.0,"InterSearch::encodeResAndCalcRdInterCU(CodingStructure&, Partitioner&, bool const&, bool, bool)",InterSearch,encodeResAndCalcRdInterCU
0.27,36.62,0.14,391579.0,0.0,0.0,"InterSearch::xPatternSearchIntRefine(PredictionUnit&, InterSearch::IntTZSearchStruct&, Mv&, Mv&, int&, unsigned int&, unsigned long&, AMVPInfo const&, double, RefPicList, int, bool&)",InterSearch,xPatternSearchIntRefine
0.27,36.76,0.14,42.0,0.0,0.1,"EncAdaptiveLoopFilter::mergeClasses(AlfFilterShape const&, AlfCovariance*, AlfCovariance*, int (*) [25][13], int, short (*) [25])",EncAdaptiveLoopFilter,mergeClasses
0.25,36.89,0.13,27706505.0,0.0,0.0,"InterPrediction::xPredInterBlkRPR(std::pair<int, int> const&, PPS const&, CompArea const&, Picture const*, Mv const&, short*, int, bool, bool, ClpRng const&, int, bool)",InterPrediction,xPredInterBlkRPR
0.25,37.02,0.13,4952569.0,0.0,0.0,"IntraPrediction::initPredIntraParams(PredictionUnit const&, CompArea, SPS const&)",IntraPrediction,initPredIntraParams
0.25,37.15,0.13,3597945.0,0.0,0.0,"InterPrediction::motionCompensation(PredictionUnit&, UnitBuf<short>&, RefPicList const&, bool, bool, UnitBuf<short>*)",InterPrediction,motionCompensation
0.25,37.28,0.13,1510721.0,0.0,0.0,RdCost::xGetSSE4(DistParam const&),RdCost,xGetSSE4
0.25,37.41,0.13,438989.0,0.0,0.0,"TrQuant::fwdLfnstNxN(int*, int*, unsigned int, unsigned int, unsigned int, int)",TrQuant,fwdLfnstNxN
0.25,37.54,0.13,26713.0,0.0,0.0,RdCost::xGetSSE64(DistParam const&),RdCost,xGetSSE64
0.24,37.67,0.13,18066741.0,0.0,0.0,"TU::getCbfAtDepth(TransformUnit const&, ComponentID const&, unsigned int const&)",TU,getCbfAtDepth
0.24,37.79,0.13,4522384.0,0.0,0.0,"InterPrediction::xPredInterUni(PredictionUnit const&, RefPicList const&, UnitBuf<short>&, bool const&, bool const&, bool, bool)",InterPrediction,xPredInterUni
0.23,37.91,0.12,2617889.0,0.0,0.0,"AreaBuf<short>::copyClip(AreaBuf<short const> const&, ClpRng const&)",AreaBuf<short>,copyClip
0.23,38.03,0.12,963645.0,0.0,0.0,"TrQuant::xTransformSkip(TransformUnit const&, ComponentID const&, AreaBuf<short const> const&, int*)",TrQuant,xTransformSkip
0.23,38.15,0.12,452672.0,0.0,0.0,"InterPrediction::applyBiOptFlow(PredictionUnit const&, UnitBuf<short const> const&, UnitBuf<short const> const&, int const&, int const&, UnitBuf<short>&, BitDepths const&)",InterPrediction,applyBiOptFlow
0.22,38.27,0.12,2418304.0,0.0,0.0,"CodingStructure::addTU(UnitArea const&, ChannelType)",CodingStructure,addTU
0.22,38.38,0.12,32493203.0,0.0,0.0,"clipMvInPic(Mv&, Position const&, Size const&, SPS const&, PPS const&)",no_class_function,clipMvInPic
0.22,38.5,0.12,29346920.0,0.0,0.0,"Picture::getBuf(CompArea const&, PictureType const&) const",Picture,getBuf
0.22,38.61,0.12,6880094.0,0.0,0.0,"RdCost::getDistPart(AreaBuf<short const> const&, AreaBuf<short const> const&, int, ComponentID, DFunc, AreaBuf<short const> const*)",RdCost,getDistPart
0.22,38.73,0.12,940531.0,0.0,0.0,"CodingStructure::initSubStructure(CodingStructure&, ChannelType, UnitArea const&, bool const&)",CodingStructure,initSubStructure
0.21,38.84,0.11,5515282.0,0.0,0.0,"void DQIntern::State::updateState<(unsigned char)1>(DQIntern::ScanInfo const&, DQIntern::State const*, DQIntern::Decision const&, int, bool)",void DQIntern,State::updateState<
0.21,38.95,0.11,5499440.0,0.0,0.0,"void addBIOAvg4_SSE<(X86_VEXT)3>(short const*, int, short const*, int, short*, int, short const*, short const*, short const*, short const*, int, int, int, int, int, int, int, ClpRng const&)",no_class_function,void addBIOAvg4_SSE
0.21,39.06,0.11,5160717.0,0.0,0.0,"CABACWriter::cbf_comp(CodingStructure const&, bool, CompArea const&, unsigned int, bool, bool)",CABACWriter,cbf_comp
0.21,39.17,0.11,4868541.0,0.0,0.0,CABACWriter::intra_luma_pred_mode(PredictionUnit const&),CABACWriter,intra_luma_pred_mode
0.21,39.28,0.11,1812580.0,0.0,0.0,"DQIntern::RateEstimator::xSetGtxFlagBits(FracBitsAccess const&, ChannelType)",DQIntern,RateEstimator::xSetGtxFlagBits
0.21,39.39,0.11,1268293.0,0.0,0.0,"fastForwardDCT2_B8(int const*, int*, int, int, int, int)",no_class_function,fastForwardDCT2_B8
0.21,39.5,0.11,1264081.0,0.0,0.0,"unsigned long RdCost::xGetSAD_NxN_SIMD<64, (X86_VEXT)3>(DistParam const&)",unsigned long RdCost,"xGetSAD_NxN_SIMD<64, "
0.21,39.61,0.11,376154.0,0.0,0.0,"EncCu::xEncodeInterResidual(CodingStructure*&, CodingStructure*&, Partitioner&, EncTestMode const&, int, bool*, double*)",EncCu,xEncodeInterResidual
0.21,39.72,0.11,226423.0,0.0,0.0,"IntraSearch::xRecurIntraChromaCodingQT(CodingStructure&, Partitioner&, double, PartSplit)",IntraSearch,xRecurIntraChromaCodingQT
0.21,39.83,0.11,203437.0,0.0,0.0,"fastInverseDST7_B8(int const*, int*, int, int, int, int, int, int)",no_class_function,fastInverseDST7_B8
0.2,39.93,0.11,9554151.0,0.0,0.0,AreaBuf<unsigned int>::fill(unsigned int const&),AreaBuf<unsigned int>,fill
0.19,40.03,0.1,34078689.0,0.0,0.0,"CodingStructure::getCURestricted(Position const&, CodingUnit const&, ChannelType) const",CodingStructure,getCURestricted
0.19,40.13,0.1,5253028.0,0.0,0.0,"QTBTPartitioner::canSplit(CodingStructure const&, bool&, bool&, bool&, bool&, bool&, bool&)",QTBTPartitioner,canSplit
0.19,40.23,0.1,2408848.0,0.0,0.0,"DQIntern::Quantizer::initQuantBlock(TransformUnit const&, ComponentID, QpParam const&, double, int)",DQIntern,Quantizer::initQuantBlock
0.19,40.33,0.1,2301965.0,0.0,0.0,CABACWriter::mmvd_merge_idx(PredictionUnit const&),CABACWriter,mmvd_merge_idx
0.19,40.43,0.1,1199645.0,0.0,0.0,PredictionUnit::operator=(PredictionUnit const&),PredictionUnit,operator=
0.19,40.53,0.1,719736.0,0.0,0.0,"EncTemporalFilter::motionErrorLuma(PelStorage const&, PelStorage const&, int, int, int, int, int, int) const",EncTemporalFilter,motionErrorLuma
0.19,40.63,0.1,100531.0,0.0,0.0,"fastInverseDCT2_B32(int const*, int*, int, int, int, int, int, int)",no_class_function,fastInverseDCT2_B32
0.19,40.73,0.1,5618462.0,0.0,0.0,"CoeffCodingContext::initSubblock(int, bool)",CoeffCodingContext,initSubblock
0.19,40.82,0.1,11802565.0,0.0,0.0,"CodingStructure::getPURestricted(Position const&, PredictionUnit const&, ChannelType) const",CodingStructure,getPURestricted
0.19,40.92,0.1,222191.0,0.0,0.0,"void removeWeightHighFreq_SSE<(X86_VEXT)3, 8>(short*, int, short const*, int, int, int, int, int)",no_class_function,void removeWeightHighFreq_SSE
0.18,41.01,0.09,1875631.0,0.0,0.0,"CodingStructure::addPU(UnitArea const&, ChannelType)",CodingStructure,addPU
0.18,41.1,0.09,1725090.0,0.0,0.0,"DepQuant::dequant(TransformUnit const&, AreaBuf<int>&, ComponentID const&, QpParam const&)",DepQuant,dequant
0.18,41.19,0.09,1382613.0,0.0,0.0,"fastForwardDCT2_B4(int const*, int*, int, int, int, int)",no_class_function,fastForwardDCT2_B4
0.18,41.28,0.09,346172.0,0.0,0.0,"void simdInterpolateHorM8<(X86_VEXT)3, 8, true>(short const*, int, short*, int, int, int, int, int, ClpRng const&, short const*)",no_class_function,void simdInterpolateHorM8
0.18,41.37,0.09,201617.0,0.0,0.0,"fastForwardDST7_B16(int const*, int*, int, int, int, int)",no_class_function,fastForwardDST7_B16
0.18,41.46,0.09,185768.0,0.0,0.0,"std::pair<long, long> fwdTransformCbCr<-1>(AreaBuf<short> const&, AreaBuf<short> const&, AreaBuf<short>&, AreaBuf<short>&)",std,"pair<long, long> fwdTransformCbCr<-1>"
0.18,41.55,0.09,37885.0,0.0,0.0,"IntraSearch::estIntraPredChromaQT(CodingUnit&, Partitioner&, double)",IntraSearch,estIntraPredChromaQT
0.18,41.64,0.09,26327.0,0.0,0.0,"fastForwardDCT2_B64(int const*, int*, int, int, int, int)",no_class_function,fastForwardDCT2_B64
0.17,41.72,0.09,3331099.0,0.0,0.0,AreaBuf<MotionInfo>::fill(MotionInfo const&),AreaBuf<MotionInfo>,fill
0.16,41.8,0.08,15390073.0,0.0,0.0,CodingStructure::getResiBuf(CompArea const&),CodingStructure,getResiBuf
0.16,41.88,0.08,5734353.0,0.0,0.0,PU::checkDMVRCondition(PredictionUnit const&),PU,checkDMVRCondition
0.16,41.96,0.08,5640818.0,0.0,0.0,"AlfCovariance::calculateError(int const*, double const*, int) const",AlfCovariance,calculateError
0.16,42.04,0.08,4633622.0,0.0,0.0,"QTBTPartitioner::canSplit(PartSplit, CodingStructure const&)",QTBTPartitioner,canSplit
0.16,42.12,0.08,3761159.0,0.0,0.0,CodingStructure::clearCUs(),CodingStructure,clearCUs
0.16,42.2,0.08,3038818.0,0.0,0.0,CABACWriter::merge_data(PredictionUnit const&),CABACWriter,merge_data
0.16,42.28,0.08,2520610.0,0.0,0.0,"DepQuant::quant(TransformUnit&, ComponentID const&, AreaBuf<int const> const&, int&, QpParam const&, Ctx const&)",DepQuant,quant
0.16,42.36,0.08,1812580.0,0.0,0.0,"DQIntern::RateEstimator::xSetSigFlagBits(FracBitsAccess const&, ChannelType)",DQIntern,RateEstimator::xSetSigFlagBits
0.16,42.44,0.08,419313.0,0.0,0.0,"fastInverseDCT2_B16(int const*, int*, int, int, int, int, int, int)",no_class_function,fastInverseDCT2_B16
0.14,42.51,0.07,905344.0,0.0,0.0,"void gradFilter_SSE<(X86_VEXT)3, true>(short*, int, int, int, int, short*, short*, int)",no_class_function,void gradFilter_SSE
0.14,42.58,0.07,298353.0,0.0,0.0,"InterSearch::xTZSearch(PredictionUnit const&, RefPicList, int, InterSearch::IntTZSearchStruct&, Mv&, unsigned long&, Mv const*, bool, bool)",InterSearch,xTZSearch
0.14,42.65,0.07,33762.0,0.0,0.0,unsigned long RdCost::xGetSAD_SIMD<(X86_VEXT)3>(DistParam const&),unsigned long RdCost,xGetSAD_SIMD<
0.14,42.72,0.07,2698484.0,0.0,0.0,"unsigned int updateCandList<EncCu::xCheckRDCostMerge2Nx2N(CodingStructure*&, CodingStructure*&, Partitioner&, EncTestMode const&)::ModeInfo, 70ul>(EncCu::xCheckRDCostMerge2Nx2N(CodingStructure*&, CodingStructure*&, Partitioner&, EncTestMode const&)::ModeInfo, double, static_vector<EncCu::xCheckRDCostMerge2Nx2N(CodingStructure*&, CodingStructure*&, Partitioner&, EncTestMode const&)::ModeInfo, 70ul>&, static_vector<double, 70ul>&, unsigned long, int*)",unsigned int updateCandList<EncCu,xCheckRDCostMerge2Nx2N
0.14,42.79,0.07,1875631.0,0.0,0.0,"CodingStructure::addCU(UnitArea const&, ChannelType)",CodingStructure,addCU
0.14,42.86,0.07,694459.0,0.0,0.0,"CABACWriter::residual_coding_subblockTS(CoeffCodingContext&, int const*, unsigned int (&) [8], int, bool)",CABACWriter,residual_coding_subblockTS
0.14,42.93,0.07,619406.0,0.0,0.0,"DeriveCtx::CtxSplit(CodingStructure const&, Partitioner&, unsigned int&, unsigned int&, unsigned int&, unsigned int&, unsigned int&, bool*)",DeriveCtx,CtxSplit
0.14,43.0,0.07,54001.0,0.0,0.0,"EncCu::xCheckRDCostIntra(CodingStructure*&, CodingStructure*&, Partitioner&, EncTestMode const&, bool)",EncCu,xCheckRDCostIntra
